,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
160,020717-SS,02,07,2017,C2ST Speakeasy: Sexy Stems: Aphrodisiac Plants that Cause Love to Bloom,SS,3,Radler,1.5,61,0,0,1,0
161,020917-PS,02,09,2017,From Quarks to the Cosmos,PS,1,Hyatt Regency Ballroom,1.5,162,0,1,0,0
162,030717-LS,03,07,2017,Speakeasy: Tales from the Sea: How do baby fish and other marine species find forever homes?,LS,3,Pint,1.5,51,0,1,0,0
163,032217-CEE,03,22,2017,Recent Advances in CO2 Storage Science and Technology,CEE,1,"Perlstein Hall Auditorium, IIT",1.5,133,7,0,1,0
164,033017-PS,03,30,2017,Baseball: It’s Not Nuclear Physics—Or Is It?,PS,1,Harold Washington Library,1.5,75,28,1,0,0
165,040617-SS,04,06,2017,The Usefulness of Useless Knowledge,SS,1,The Arts Club Chicago,1.5,55,66,1,0,0
166,041117-SS,04,11,2017,Making Things Meaningful in the Ice Age,SS,1,"Conaway Center, Columbia College",1.5,109,43,0,1,0
167,042017-CEE,04,20,2017,Extreme Science: The U.S. Antarctic Program,CEE,1,MTCC,1.5,70,15,0,1,0
168,042217-SS,04,22,2017,March for Science Chicago Booth,SS,4,Museum Campus,3.5,615,0,1,3,1
169,042317-SS,04,23,2017,Party for the Planet Booth,SS,4,Brookfield Zoo,6,220,0,0,4,0
170,042417-SS,04,24,2017,Nothing Academic: Science-themed Improv,SS,1,Comedy Clubhouse,2,130,0,12,6,1
171,050217-LS,05,02,2017,How the new genome-editing technologies in agriculture will change our everyday lives,LS,1,Alliance Francais,1.5,49,0,0,1,0
172,050417-PS,05,04,2017,"Black holes, supernovae, Big Bang: why are gravitational waves a revolutionary discovery?",PS,1,Alliance Francais,1.5,67,0,1,0,0
173,051017-LS,05,10,2017,Urban Nature: Behind the Scenes,LS,1,"Arts & Cinema (Room 310), Columbia College",1.5,47,0,3,0,0
174,061217-SS,06,12,2017,Lawrence Krauss: The Greatest Story Ever Told—So Far,SS,1,Pritzker Military Museum & Library,1.5,99,100,1,0,0
175,062017-HW,06,20,2017,"Dietary Supplements: Stories of Regulation, Safety, and Evidence",HW,3,The Radler,1.5,40,0,0,1,0
176,071117-LS,07,11,2017,Antibiotic Hunters: Discovering Drugs in the Ocean,LS,3,The Radler,1.5,60,0,1,0,0
177,082517-SS,08,25,2017,Curators: Behind the Scenes of Natural History Museums with Lance Grande,SS,1,Chicago Maritime Museum,2,62,27,1,0,0
178,090617-PS,09,06,2017,Fermilab and the New Frontiers of Physics,PS,1,Harold Washington Library,2,107,169,3,1,1
179,091217-TEI,09,12,2017,Chicago's Potemkin Village,TEI,3,The Radler,1.5,40,0,1,0,0
180,092317-SS,09,23,2017,Fermilab's Open House Booth,SS,4,Fermilab,8,220,0,3,3,2
181,092617-HW,09,26,2017,New Developments in Mental Health,HW,1,Northwestern Baldwin Auditorium,2,60,57,1,3,1
182,101017-TEI,10,10,2017,Technology and Politics,TEI,3,The Radler,1.5,47,0,0,1,0
183,101217-LS,10,12,2017,Alesi: The life and death of an ancestor,LS,1,Walter Payton High School,1.5,71,58,1,0,1
184,111317-SS,11,13,2017,Unconscious Bias,SS,2,1871,1.5,139,104,1,3,1
185,111517-SS,11,15,2017,Math-It's as easy as Pi!,SS,2,Roosevelt U - Gantz Hall,1.5,97,74,0,1,1
186,121217-PS,12,12,2017,In Awe of the Northern Lights,PS,3,The Radler,1.5,124,0,1,0,1
187,121417-CEE,12,14,2017,Strengthening Our Energy Security Future,CEE,1,Alliance Francais,1.5,58,0,3,0,0
188,011618-LS,01,16,2018,Genes and Geography,LS,3,Pint,1.5,75,0,1,0,0
189,020618-SS,02,06,2018,Our Chemical Romance,SS,3,Pint,1.5,48,0,0,1,0
190,022018-SS,02,20,2018,Investing in Science and Education: An Act of Faith,SS,2,"Founders Room, Field Museum",1,70,0,1,0,0
191,031518-SS,03,15,2018,NU Women in STEM and Academia Booth,SS,4,Prentice Women's Hospital,2,25,0,0,1,0
192,031918-HW,03,19,2018,Personalized Medicine,HW,2,Northwestern Baldwin Auditorium,1.5,61,88,2,2,0
193,032318-SS,03,23,2018,Science Riot - 1st Show,SS,1,"Rice Hall, Field Museum",2,115,0,9,3,4
194,040418-CEE,04,04,2018,Challenges and Opportunities in an Emerging Solar Economy,CEE,1,IIT Perlstein Hall,1.5,115,0,1,0,1
195,040418-SS,04,04,2018,Science is a Verb. We Must Get Sciencing. The World Requires It!,SS,1,Fortnightly,2,43,0,0,1,0
196,040518-SS,04,05,2018,Women in STEM Education and Career Fair at OKRFHS,SS,4,Oak Park and River Forrest High School,1.5,65,0,0,3,0
197,041218-CEE,04,12,2018,The Future of Trees: Hope in a Changing Climate,CEE,1,Morton Ginko Hall,2,205,216,3,3,0
198,041418-SS,04,14,2018,Speak up for Science,SS,4,Field Museum,3,50,0,1,2,1
199,042018-SS,04,20,2018,Science Riot - 2nd Show,SS,1,Theater on the Lake,2,158,0,9,3,4
200,042218-SS,04,22,2018,Party for the Planet Booth,SS,4,Brookfield Zoo,6,246,0,1,3,0
201,050718-TEI,05,07,2018,Immersion in the Nanoworld,TEI,1,Alliance Francais,1.5,49,0,0,1,0
202,051018-CEE,05,10,2018,Climate Change and Viral Emergence in Humans and Domestic Animals,CEE,1,Alliance Francais,1.5,55,0,1,0,0
203,052318-LS,05,23,2018,Origins of the Genus Homo,LS,1,Harold Washington Library,1.5,184,0,1,0,0
204,060718-SS,06,07,2018,Columbia Explorers Academy Career Day,SS,4,Columbia Explorers Academy,2,53,0,0,1,0
205,061218-SS,06,12,2018,Mission to Mars: Team Composition,SS,3,Galway Arms,1.5,65,0,0,1,0
206,061418-CEE,06,14,2018,Extreme Storms,CEE,1,Harold Washington Library,2,55,261,2,2,1
207,061618-SS,06,16,2018,Science Friday Recording Booth,SS,4,Harris Theater,1.5,60,0,1,1,0
208,081518-HW,08,15,2018,Sleep and Clocks: Windows to Health,HW,1,Horner Park,1.5,41,0,0,1,1
209,092518-HW,09,25,2018,Head Banging: How Music and Concussions Affect Brain Health,HW,1,South Shore Cultural Center,1.5,19,69,0,1,0
